,Brightness,Brightness_desc,Briskness,Briskness_desc,Strength,Strength_desc,Colour,Colour_desc,Overall Quality,Overall Quality_desc,With Milk,With Milk_desc,Taster Score,10-point,Infusion
1,4,Fair,3,Only Fair,3,Only Fair,5,Fairly Good,3,Only Fair,4,Fair,140,22,Dull
2,5,Fairly Good,5,Fairly Good,5,Fairly Good,7,Good,5,Fairly Good,6,Bright,200,33,Fairly Bright
3,7,Good,5,Fairly Good,5,Fairly Good,7,Good,7,Good,6,Bright,220,37,Brighter
4,5,Fairly Good,7,Good,5,Fairly Good,7,Good,7,Good,6,Bright,210,37,Fairly Bright
5,7,Good,5,Fairly Good,5,Fairly Good,9,Very Good,9,Very Good,6,Bright,220,41,Dull
6,3,Only Fair,7,Good,3,Only Fair,3,Only Fair,3,Only Fair,4,Fair,165,23,Brighter
7,5,Fairly Good,5,Fairly Good,5,Fairly Good,5,Fairly Good,5,Fairly Good,6,Bright,170,31,Very Dull
8,3,Only Fair,4,Fair,3,Only Fair,3,Only Fair,3,Only Fair,4,Fair,160,20,Dull
9,5,Fairly Good,3,Only Fair,5,Fairly Good,3,Only Fair,7,Good,6,Bright,170,29,Fairly Bright
10,3,Only Fair,5,Fairly Good,3,Only Fair,3,Only Fair,3,Only Fair,4,Fair,170,21,Dull
11,3,Only Fair,3,Only Fair,3,Only Fair,5,Fairly Good,3,Only Fair,4,Fair,160,21,Dull
12,3,Only Fair,3,Only Fair,3,Only Fair,5,Fairly Good,7,Good,4,Fair,180,25,Dull
13,5,Fairly Good,3,Only Fair,3,Only Fair,5,Fairly Good,3,Only Fair,4,Fair,170,23,Fairly Bright
14,3,Only Fair,5,Fairly Good,5,Fairly Good,3,Only Fair,3,Only Fair,4,Fair,170,23,Dull
15,5,Fairly Good,7,Good,5,Fairly Good,2,Poor,5,Fairly Good,6,Bright,175,30,Fairly Bright
16,5,Fairly Good,5,Fairly Good,5,Fairly Good,5,Fairly Good,5,Fairly Good,4,Fair,180,29,Fairly Bright
17,5,Fairly Good,5,Fairly Good,5,Fairly Good,5,Fairly Good,3,Only Fair,4,Fair,175,27,Fairly Bright
18,3,Only Fair,7,Good,3,Only Fair,3,Only Fair,3,Only Fair,4,Fair,160,23,Dull
19,3,Only Fair,5,Fairly Good,5,Fairly Good,3,Only Fair,,,4,Fair,160,20,Dull
20,5,Fairly Good,5,Fairly Good,3,Only Fair,5,Fairly Good,5,Fairly Good,6,Bright,170,29,Fairly Bright
21,3,Only Fair,4,Fair,3,Only Fair,3,Only Fair,4,Fair,6,Bright,160,23,Dull
22,3,Only Fair,4,Fair,,,3,Only Fair,4,Fair,4,Fair,165,18,Only Fair
23,3,Only Fair,2,Poor,4,Fair,3,Only Fair,2,Poor,2,Dull,150,16,Dull
24,5,Fairly Good,5,Fairly Good,4,Fair,3,Only Fair,4,Fair,4,Fair,165,25,Only Fair
25,5,Fairly Good,5,Fairly Good,5,Fairly Good,3,Only Fair,4,Fair,4,Fair,160,26,Only Fair
26,5,Fairly Good,5,Fairly Good,5,Fairly Good,5,Fairly Good,4,Fair,4,Fair,160,28,Only Fair
27,2,Poor,5,Fairly Good,3,Only Fair,3,Only Fair,4,Fair,6,Bright,100,23,Dull
28,3,Only Fair,3,Only Fair,3,Only Fair,3,Only Fair,,,2,Dull,120,14,Only Fair
29,2,Poor,3,Only Fair,5,Fairly Good,5,Fairly Good,5,Fairly Good,2,Dull,125,22,Only Fair
30,3,Only Fair,5,Fairly Good,3,Only Fair,5,Fairly Good,5,Fairly Good,6,Bright,160,27,Dull
31,5,Fairly Good,5,Fairly Good,3,Only Fair,2,Poor,5,Fairly Good,2,Dull,160,22,Dull
32,5,Fairly Good,5,Fairly Good,5,Fairly Good,7,Good,4,Fair,2,Dull,160,28,Only Fair
33,3,Only Fair,3,Only Fair,5,Fairly Good,,,4,Fair,6,Bright,145,21,Only Fair
34,5,Fairly Good,5,Fairly Good,3,Only Fair,5,Fairly Good,3,Only Fair,6,Bright,160,27,Only Fair
35,3,Only Fair,3,Only Fair,5,Fairly Good,2,Poor,4,Fair,2,Dull,140,19,Only Fair
36,5,Fairly Good,3,Only Fair,3,Only Fair,4,Fair,4,Fair,6,Bright,160,25,Dull
37,3,Only Fair,5,Fairly Good,3,Only Fair,4,Fair,5,Fairly Good,2,Dull,170,22,Only Fair
38,2,Poor,5,Fairly Good,3,Only Fair,4,Fair,5,Fairly Good,6,Bright,175,25,Fairly Good
39,2,Poor,4,Fair,3,Only Fair,4,Fair,2,Poor,2,Dull,160,17,Only Fair
40,3,Only Fair,5,Fairly Good,4,Fair,2,Poor,5,Fairly Good,2,Dull,170,21,Fairly Good
41,5,Fairly Good,5,Fairly Good,4,Fair,4,Fair,5,Fairly Good,4,Fair,200,27,Bright
42,5,Fairly Good,3,Only Fair,4,Fair,5,Fairly Good,4,Fair,4,Fair,220,25,Dull
43,5,Fairly Good,5,Fairly Good,5,Fairly Good,7,Good,7,Good,6,Bright,240,35,Bright
44,5,Fairly Good,5,Fairly Good,5,Fairly Good,5,Fairly Good,5,Fairly Good,6,Bright,200,31,Bright
45,5,Fairly Good,5,Fairly Good,5,Fairly Good,5,Fairly Good,5,Fairly Good,6,Bright,220,31,Bright
46,3,Only Fair,3,Only Fair,3,Only Fair,3,Only Fair,3,Only Fair,4,Fair,210,19,Dull
47,5,Fairly Good,5,Fairly Good,5,Fairly Good,5,Fairly Good,5,Fairly Good,6,Bright,210,31,Fairly Bright
48,7,Good,5,Fairly Good,5,Fairly Good,7,Good,5,Fairly Good,6,Bright,220,35,Bright
49,3,Only Fair,3,Only Fair,3,Only Fair,3,Only Fair,3,Only Fair,4,Fair,210,19,Bright
50,5,Fairly Good,4,Fair,5,Fairly Good,5,Fairly Good,5,Fairly Good,6,Bright,220,30,Bright
51,3,Only Fair,3,Only Fair,3,Only Fair,3,Only Fair,3,Only Fair,4,Fair,160,19,Dull
52,4,Fair,4,Fair,4,Fair,4,Fair,4,Fair,4,Fair,160,24,Bright
53,3,Only Fair,3,Only Fair,3,Only Fair,3,Only Fair,3,Only Fair,4,Fair,170,19,Dull
54,5,Fairly Good,5,Fairly Good,5,Fairly Good,5,Fairly Good,5,Fairly Good,6,Bright,165,31,Dull
55,3,Only Fair,3,Only Fair,3,Only Fair,3,Only Fair,3,Only Fair,4,Fair,170,19,Fair
56,5,Fairly Good,5,Fairly Good,5,Fairly Good,5,Fairly Good,5,Fairly Good,4,Fair,170,29,Dull
57,3,Only Fair,3,Only Fair,3,Only Fair,3,Only Fair,3,Only Fair,4,Fair,180,19,Dull
58,5,Fairly Good,5,Fairly Good,5,Fairly Good,5,Fairly Good,5,Fairly Good,6,Bright,160,31,Fair
59,5,Fairly Good,3,Only Fair,3,Only Fair,3,Only Fair,3,Only Fair,4,Fair,170,21,Dull
60,5,Fairly Good,5,Fairly Good,5,Fairly Good,5,Fairly Good,5,Fairly Good,4,Fair,,29,Fair
